Usuario,id_equipo,RESPONISVA,FECHA DE ASIGNACION,estatus
198,458,1,2021-12-09,ACTIVO
198,459,1,2021-12-09,ACTIVO
198,460,1,2021-12-09,ACTIVO
199,461,1,2021-11-09,ACTIVO
200,462,1,2021-06-12,ACTIVO
200,463,1,1900-01-01,ACTIVO
201,464,1,1900-01-01,ACTIVO
201,465,1,2021-05-03,ACTIVO
201,466,1,2022-02-19,ACTIVO
202,467,1,1900-01-01,ACTIVO
202,468,1,1900-01-01,ACTIVO
202,469,1,1900-01-01,ACTIVO
203,470,1,2021-07-05,ACTIVO
203,471,1,2021-07-05,ACTIVO
203,472,0,1900-01-01,ACTIVO
204,473,0,1900-01-01,ACTIVO
204,474,0,1900-01-01,ACTIVO
