TIPO,MARCA,EQUIPO,NO_SERIE,DESCRIPCION,PROPIEDAD,ESTATUS
3,1,VOSTRO 3459 ,4PQKZF2,VOSTRO 3459 CORE I5-6200U 2.3GHz 8GB RAM 1TB HD DVDRW 14.0in LED,PROPIO,ACTIVO
3,1,VOSTRO 5471,BVLXM42,"LAPTOP DELL VOSTRO 5471 14"" FULL HD INTEL CORE I5-8250U 1.60GHZ 4GB 16GB OPTANE  1TB W10PRO 64-BITS",ARRENDADO,ACTIVO
1,12,NA,GABGEN003N,Pentium @ 3.00 GHz 500 gb disco duro 4 gb de RAM,PROPIO,ACTIVO
2,15,MG2016,S2016171202035,,PROPIO,ACTIVO
3,1,LATITUDE 3410,22GTC63,"Portatil Dell Latitude 3000 3410 39.6 (15.6"") HD 1366X768 intel core i5 (10a gen) i5-10210U Quad-core (4 core) 1.60 Ghz 8 gb Ram 1TB HDD negro windows 10 Pro intel UHD Graphics torsion nemática (TN) español teclado IEEE 802.11 ax wireless LAN standard incluye mochila",ARRENDADO,ACTIVO
3,1,VOSTRO 3468,D61NBL2,"DELL VOSTRO 3468 CI3 6006U 8GB RAM 1TB DD DVD 14""",ARRENDADO,STOCK
3,1,LATITUDE 5590,BLMGTT2,COMPUTADRA PORTATIL DELL LATITUDE 5590 PROCESADOR INTEL CI7-8650U RAM 16GB DDR4 ESTADO SOLIDO 2.5 P 1TB 5400RPM PANTALLA 15.6 W10P,ARRENDADO,ACTIVO
2,10,S22D300HY,02CXHCKG200279N,,PROPIO,ACTIVO
6,5,KXNT551X,ODATJ132557,Panasonic Teléfono IP KX-NT551X Alámbrico 8 Teclas Programables Altavoz NEGRO,PROPIO,ACTIVO
3,1,VOSTRO 5471,J9MXM42,"LAPTOP DELL VOSTRO 5471 14"" FULL HD INTEL CORE I5-8250U 1.60GHZ 4GB 16GB OPTANE  1TB W10PRO 64-BITS",ARRENDADO,ACTIVO
1,1,VOSTRO 3470,D04MZT2,"COMPUTADORA DELL VOSTRO 3470 CORE-I5 8400 8A GENERACION MEMORIA RAM DE 4GB DDR4 2666MHZ HASTA 32GB OPCIONAL DISCO DURO DE 1TB 3.5"" (7200RPM) SATA TARJETA DE VIDEO INTEGRADA INTEL UHD 630 UNIDAD MULTIMEDIA DVD+/-RW W10PRO GARANTIA 1 AÑO",ARRENDADO,ACTIVO
2,1,E2016HV,9284CX2 / CN-07XJH5-FCC00-964-AL9U-A05,"MONITOR LED DELL 20 E2016HW / 19.5"" 1600 X 900 / 60 HZ / SOLO TIENE CONEXIÓN VGA",ARRENDADO,ACTIVO
1,16,NA,DSE1475JRZ,RAM 8GB PROCESADOR PENTIUM G620,PROPIO,ACTIVO
2,10,NA,ZYGFH4LDB00078M,NA,PROPIO,ACTIVO
1,1,VOSTRO 3470,HW3HZT2,"COMPUTADORA DELL VOSTRO 3470 CORE-I5 8400 8A GENERACION MEMORIA RAM DE 4GB DDR4 2666MHZ HASTA 32GB OPCIONAL DISCO DURO DE 1TB 3.5"" (7200RPM) SATA TARJETA DE VIDEO INTEGRADA INTEL UHD 630 UNIDAD MULTIMEDIA DVD+/-RW W10PRO GARANTIA 1 AÑO",ARRENDADO,ACTIVO
2,1,E2016HV,1694CX2 / 5FCC00964C9AU,"MONITOR LED DELL 20 E2016HW / 19.5"" 1600 X 900 / 60 HZ / SOLO TIENE CONEXIÓN VGA",ARRENDADO,ACTIVO
6,5,KXNT551X,8IATH111854,Panasonic Teléfono IP KX-NT551X Alámbrico 8 Teclas Programables Altavoz NEGRO,PROPIO,ACTIVO
3,1,LATITUDE 5590,21483X2,"COMPUTADORA PORTATIL DELL LATITUD 5590 PROCESADOR INTEL CORE I7-8650U A 1.9GHZ MEMORIA 16GB DISCO DURO 1TB PANTALLA 15.6"" NO DVD 3 AÑOS DE GARANTIA",ARRENDADO,ACTIVO
2,8,V206HQL,MMLY6AM001541162308504,19.5,PROPIO,ACTIVO
4,6,LASERJET PRO 400 M401N,VNB3S02492,IMPRESORA MULTIFUNCIONALHP LASERJET PRO,PROPIO,ACTIVO
1,1,VOSTRO 3470,9TQWZS2,COMPUTADORA DELL VOSTRO 3470 CI3 810 3.6GHZ /4GB /1TB / NO MONITOR /DVDRW /  W10P,ARRENDADO,ACTIVO
1,6,280 G2,4CE6421CZL,HP280 G2 CORE I5-6500 3.2 GHz 4GB RAM 1TB HD DVDRW GbNIC,PROPIO,ACTIVO
2,1,E2016HV,G184CX2 / CN-07XJH5-FCC00-964-AKWU-A05,"MONITOR LED DELL 20 E2016HW / 19.5"" 1600 X 900 / 60 HZ / SOLO TIENE CONEXIÓN VGA",ARRENDADO,ACTIVO
1,1,VOSTRO 3470,4LYDZT2,"COMPUTADORA DELL VOSTRO 3470 CORE-I5 8400 8A GENERACION MEMORIA RAM DE 4GB DDR4 2666MHZ HASTA 32GB OPCIONAL DISCO DURO DE 1TB 3.5"" (7200RPM) SATA TARJETA DE VIDEO INTEGRADA INTEL UHD 630 UNIDAD MULTIMEDIA DVD+/-RW W10PRO GARANTIA 1 AÑO",ARRENDADO,ACTIVO
2,1,E2016HV,4N84CX2 / CN-07XJH5-FCC00-964-C02U-A05,"MONITOR LED DELL 20 E2016HW / 19.5"" 1600 X 900 / 60 HZ / SOLO TIENE CONEXIÓN VGA",ARRENDADO,ACTIVO
8,18,NANO STATION LOCO M2,NA,ACCESS POINT NANOSTATION LOCO M2 VELOCIDAD 150 MB/s FRECUENCIA 2.4 GHZ,PROPIO,ACTIVO
4,3,LX-300II,G8DY149112,,PROPIO,STOCK
1,1,VOSTRO 3470,HN0CZT2,"COMPUTADORA DELL VOSTRO 3470 CORE-I5 8400 8A GENERACION MEMORIA RAM DE 4GB DDR4 2666MHZ HASTA 32GB OPCIONAL DISCO DURO DE 1TB 3.5"" (7200RPM) SATA TARJETA DE VIDEO INTEGRADA INTEL UHD 630 UNIDAD MULTIMEDIA DVD+/-RW W10PRO GARANTIA 1 AÑO",ARRENDADO,ACTIVO
2,1,E2016HV,5794CX2,"MONITOR LED DELL 20 E2016HW / 19.5"" 1600 X 900 / 60 HZ / SOLO TIENE CONEXIÓN VGA",ARRENDADO,ACTIVO
4,6,LASERJET M15W,VNB3D44921,IMPRESORA MULTIFUNCIONALHP LASERJET PRO,PROPIO,ACTIVO
6,5,KXNT551X,ODATJ132528,Panasonic Teléfono IP KX-NT551X Alámbrico 8 Teclas Programables Altavoz NEGRO,PROPIO,ACTIVO
3,1,VOSTRO 5471,GHMXM42,"COMPUTADORA PORTATIL DELL VOSTRO 5471 PROCESADOR CORE I5 8250U MEMORIA 4GB + 16OPTANE DISCO DURO 1TB PANTALLA DE 14"" W10PRO 1 DE GARANTIA  ",ARRENDADO,ACTIVO
3,1,VOSTRO 3468,BFC9TJ2,VOSTRO 3468 CORE I5-7200U 3.10 GHz 8GB RAM 1TB HD DVDRW 14.0in LED,PROPIO,ACTIVO
6,5,KXNT551X,OAATJ130539,Panasonic Teléfono IP KX-NT551X Alámbrico 8 Teclas Programables Altavoz NEGRO,PROPIO,ACTIVO
1,1,VOSTRO 3470,2VRNJV2,"COMPUTADORA DELL VOSTRO 3470 CORE-I5 8400 8A GENERACION MEMORIA RAM DE 4GB DDR4 2666MHZ HASTA 32GB OPCIONAL DISCO DURO DE 1TB 3.5"" (7200RPM) SATA TARJETA DE VIDEO INTEGRADA INTEL UHD 630 UNIDAD MULTIMEDIA DVD+/-RW W10PRO GARANTIA 1 AÑO",ARRENDADO,ACTIVO
2,1,E2016HV,4594CX2 / CN-07XJH5-FCC00-964-C8VU-A05,"MONITOR LED DELL 20 E2016HW / 19.5"" 1600 X 900 / 60 HZ / SOLO TIENE CONEXIÓN VGA",ARRENDADO,ACTIVO
4,19,ZT220,ZT22042-T01000FZ,,PROPIO,ACTIVO
3,1,VOSTRO 3468,371NBL2,"DELL VOSTRO 3468 CI3 6006U 8GB RAM 1TB DD DVD 14""",ARRENDADO,ACTIVO
